ClubName,ClubType,Level,UpgradeCost,UpgradeCards,Power,Accuracy,TopSpin,BackSpin,Curl,BallGuide,Distance,DistanceTS,Score,ClubKey,TotalCards,TotalCost
Claw,ShortIron,1,0,0,76,25,0,55,80,1.7,0,0,20.35,31,0,0
Claw,ShortIron,2,22000,4,76,29,0,55,94,2.1,0,0,26.29,31,4,22000
Claw,ShortIron,3,28000,10,77,41,0,64,94,2.1,0,0,30.70,31,14,50000
Claw,ShortIron,4,35000,20,77,41,14,78,94,2.3,0,0,36.78,31,34,85000
Claw,ShortIron,5,43000,50,80,50,14,78,100,2.3,0,0,40.58,31,84,128000
Claw,ShortIron,6,52000,100,82,50,14,83,100,2.7,0,0,47.80,31,184,180000
Claw,ShortIron,7,62000,200,82,54,36,83,100,3.1,0,0,55.95,31,384,242000
Claw,ShortIron,8,73000,400,86,54,51,87,100,3.1,0,0,60.71,31,784,315000
Claw,ShortIron,9,86000,1000,86,66,51,97,100,3.2,0,0,65.90,31,1784,401000
Claw,ShortIron,10,100000,2000,87,75,73,97,100,3.2,0,0,70.56,31,3784,501000
