ClubName,ClubType,Level,UpgradeCost,UpgradeCards,Power,Accuracy,TopSpin,BackSpin,Curl,BallGuide,Distance,DistanceTS,Score,ClubKey,TotalCards,TotalCost
Dart,Wedge,1,0,0,35,10,0,0,10,1.7,0,0,11.90,34,0,0
Dart,Wedge,2,100,4,35,22,0,0,10,1.9,0,0,19.23,34,4,100
Dart,Wedge,3,340,10,37,22,0,9,10,2.1,0,0,22.40,34,14,440
Dart,Wedge,4,800,20,37,30,0,9,19,2.5,0,0,30.19,34,34,1240
Dart,Wedge,5,1600,50,39,30,7,23,19,2.5,0,0,32.17,34,84,2840
Dart,Wedge,6,2700,100,39,43,7,23,28,2.8,0,0,41.01,34,184,5540
Dart,Wedge,7,4300,200,39,43,15,32,54,2.8,0,0,42.13,34,384,9840
Dart,Wedge,8,6400,400,41,47,15,32,54,3,0,0,47.02,34,784,16240
Dart,Wedge,9,9200,1000,41,60,22,32,72,3,0,0,53.59,34,1784,25440
Dart,Wedge,10,13000,2000,41,64,22,47,72,3.3,0,0,58.57,34,3784,38440
