ClubName,ClubType,Level,UpgradeCost,UpgradeCards,Power,Accuracy,TopSpin,BackSpin,Curl,BallGuide,Distance,DistanceTS,Score,ClubKey,TotalCards,TotalCost
Quarterback,Driver,1,0,0,197,73,8,10,35,2,266.0,270.2,20.78,5,0,0
Quarterback,Driver,2,4300,4,197,80,17,10,35,2.7,266.0,275.0,23.89,5,4,4300
Quarterback,Driver,3,6400,10,203,80,17,27,40,2.7,274.0,283.4,32.05,5,14,10700
Quarterback,Driver,4,9200,20,203,80,22,27,53,3.1,274.0,286.1,34.32,5,34,19900
Quarterback,Driver,5,13000,50,207,100,22,27,58,3.1,279.4,291.7,41.31,5,84,32900
Quarterback,Driver,6,17000,100,207,100,31,36,58,3.8,279.4,296.8,44.17,5,184,49900
Quarterback,Driver,7,22000,200,214,100,31,45,67,3.8,288.9,306.8,53.37,5,384,71900
Quarterback,Driver,8,28000,400,214,100,41,45,82,4,288.9,312.6,56.22,5,784,99900
Quarterback,Driver,9,35000,1000,218,100,41,72,86,4,294.3,318.4,62.49,5,1784,134900
Quarterback,Driver,10,43000,2000,218,100,55,72,86,4.5,294.3,326.7,65.35,5,3784,177900
