ClubName,ClubType,Level,UpgradeCost,UpgradeCards,Power,Accuracy,TopSpin,BackSpin,Curl,BallGuide,Distance,DistanceTS,Score,ClubKey,TotalCards,TotalCost
Rock,Driver,1,0,0,190,50,0,0,12,2,256.5,256.5,7.05,6,0,0
Rock,Driver,2,100,4,190,70,9,9,12,2,256.5,261.1,10.85,6,4,9200
Rock,Driver,3,340,10,192,70,9,9,26,2.4,259.2,263.9,14.76,6,14,22200
Rock,Driver,4,800,20,198,76,9,26,26,2.4,267.3,272.1,23.17,6,34,39200
Rock,Driver,5,1600,50,198,76,18,26,30,3.1,267.3,276.9,25.86,6,84,61200
Rock,Driver,6,2700,100,202,83,18,52,30,3.1,272.7,282.5,32.5,6,184,89200
Rock,Driver,7,4300,200,204,83,18,52,44,3.6,275.4,285.3,36.56,6,384,124200
Rock,Driver,8,6400,400,204,83,23,52,54,4.2,275.4,288.1,38.92,6,784,167200
Rock,Driver,9,9200,1000,206,83,37,70,54,4.2,278.1,298.7,44.24,6,1784,219200
Rock,Driver,10,13000,2000,211,90,37,98,54,4.2,284.8,305.9,52.14,6,3784,281200
