ClubName,ClubType,Level,UpgradeCost,UpgradeCards,Power,Accuracy,TopSpin,BackSpin,Curl,BallGuide,Distance,DistanceTS,Score,ClubKey,TotalCards,TotalCost
Viper,Wood,1,0,0,160,20,0,20,10,1.9,216,216,11.53,11,0,0
Viper,Wood,2,340,4,164,20,0,20,20,2,221.4,221.4,18.12,11,4,340
Viper,Wood,3,800,10,165,35,0,30,20,2,222.8,222.8,23.87,11,14,1140
Viper,Wood,4,1600,20,165,40,0,30,36,2.4,222.8,222.8,28.82,11,34,2740
Viper,Wood,5,2700,50,166,51,0,30,36,2.9,224.1,224.1,35.21,11,84,5440
Viper,Wood,6,4300,100,166,51,17,35,46,2.9,224.1,231.7,38.66,11,184,9740
Viper,Wood,7,6400,200,170,56,17,35,46,3.2,229.5,237.3,46.43,11,384,16140
Viper,Wood,8,9200,400,170,56,29,51,51,3.2,229.5,242.8,50.53,11,784,25340
Viper,Wood,9,13000,1000,170,67,29,51,67,3.4,229.5,242.8,55.50,11,1784,38340
Viper,Wood,10,17000,2000,170,72,29,62,67,3.9,229.5,242.8,61.09,11,3784,55340
