ClubName,ClubType,Level,UpgradeCost,UpgradeCards,Power,Accuracy,TopSpin,BackSpin,Curl,BallGuide,Distance,DistanceTS,Score,ClubKey,TotalCards,TotalCost
Beginner Driver,Driver,1,0,0,190,10,0,0,5,2,256.5,256.5,2.56,1,0,0
Rocket,Driver,1,0,0,190,50,0,0,12,2,256.5,256.5,7.05,2,0,0
Rocket,Driver,2,100,4,190,70,9,9,12,2,256.5,261.1,10.85,2,4,100
Rocket,Driver,3,340,10,192,70,9,9,26,2.4,259.2,263.9,14.76,2,14,440
Rocket,Driver,4,800,20,198,76,9,26,26,2.4,267.3,272.1,23.17,2,34,1240
Rocket,Driver,5,1600,50,198,76,18,26,30,3.1,267.3,276.9,25.86,2,84,2840
Rocket,Driver,6,2700,100,202,83,18,52,30,3.1,272.7,282.5,32.5,2,184,5540
Rocket,Driver,7,4300,200,204,83,18,52,44,3.6,275.4,285.3,36.56,2,384,9840
Rocket,Driver,8,6400,400,204,83,23,52,54,4.2,275.4,288.1,38.92,2,784,16240
Rocket,Driver,9,9200,1000,206,83,37,70,54,4.2,278.1,298.7,44.24,2,1784,25440
Rocket,Driver,10,13000,2000,211,90,37,98,54,4.2,284.8,305.9,52.14,2,3784,38440
Extra Mile,Driver,1,0,0,220,0,20,0,15,1.3,297,308.9,39,3,0,0
Extra Mile,Driver,2,340,4,220,7,30,0,15,2,297,314.8,42.26,3,4,340
Extra Mile,Driver,3,800,10,224,7,30,28,15,2.3,302.4,320.5,48.76,3,14,1140
Extra Mile,Driver,4,1600,20,226,7,45,28,25,2.3,305.1,332.6,54.03,3,34,2740
Extra Mile,Driver,5,2700,50,226,29,50,28,25,2.8,305.1,335.6,57.73,3,84,5440
Extra Mile,Driver,6,4300,100,234,29,50,48,30,2.8,315.9,347.5,68.36,3,184,9740
Extra Mile,Driver,7,6400,200,234,45,50,48,47,3,315.9,347.5,71.46,3,384,16140
Extra Mile,Driver,8,9200,400,236,45,67,48,47,3.6,318.6,361.3,77.24,3,784,25340
Extra Mile,Driver,9,50000,1000,237,45,85,50,50,3.6,320,374.3,81.41,3,1784,75340
Big Topper,Driver,1,0,0,205,10,100,0,33,1.6,276.8,332.1,36.32,4,0,0
Big Topper,Driver,2,1600,4,209,10,100,0,38,2.3,282.2,338.6,42.37,4,4,1600
Big Topper,Driver,3,2700,10,209,25,100,10,54,2.3,282.2,338.6,45.49,4,14,4300
Big Topper,Driver,4,4300,20,217,25,100,10,65,2.6,293,351.5,55.99,4,34,8600
Big Topper,Driver,5,6400,50,217,34,100,43,65,3.1,293,351.5,59.3,4,84,15000
Big Topper,Driver,6,9200,100,219,51,100,43,83,3.1,295.6,354.8,64.58,4,184,24200
Big Topper,Driver,7,13000,200,225,51,100,54,83,4,303.8,364.5,73.45,4,384,37200
Big Topper,Driver,8,150000,400,230,60,100,60,100,4.1,310.5,372.6,81.79,4,784,187200
Quarterback,Driver,1,0,0,197,73,8,10,35,2,266,270.2,20.78,5,0,0
Quarterback,Driver,2,4300,4,197,80,17,10,35,2.7,266,275,23.89,5,4,4300
Quarterback,Driver,3,6400,10,203,80,17,27,40,2.7,274,283.4,32.05,5,14,10700
Quarterback,Driver,4,9200,20,203,80,22,27,53,3.1,274,286.1,34.32,5,34,19900
Quarterback,Driver,5,13000,50,207,100,22,27,58,3.1,279.4,291.7,41.31,5,84,32900
Quarterback,Driver,6,17000,100,207,100,31,36,58,3.8,279.4,296.8,44.17,5,184,49900
Quarterback,Driver,7,22000,200,214,100,31,45,67,3.8,288.9,306.8,53.37,5,384,71900
Quarterback,Driver,8,28000,400,214,100,41,45,82,4,288.9,312.6,56.22,5,784,99900
Quarterback,Driver,9,35000,1000,218,100,41,72,86,4,294.3,318.4,62.49,5,1784,134900
Quarterback,Driver,10,43000,2000,218,100,55,72,86,4.5,294.3,326.7,65.35,5,3784,177900
Rock,Driver,1,0,0,190,50,0,0,12,2,256.5,256.5,7.05,6,0,0
Rock,Driver,2,100,4,190,70,9,9,12,2,256.5,261.1,10.85,6,4,9200
Rock,Driver,3,340,10,192,70,9,9,26,2.4,259.2,263.9,14.76,6,14,22200
Rock,Driver,4,800,20,198,76,9,26,26,2.4,267.3,272.1,23.17,6,34,39200
Rock,Driver,5,1600,50,198,76,18,26,30,3.1,267.3,276.9,25.86,6,84,61200
Rock,Driver,6,2700,100,202,83,18,52,30,3.1,272.7,282.5,32.5,6,184,89200
Rock,Driver,7,4300,200,204,83,18,52,44,3.6,275.4,285.3,36.56,6,384,124200
